;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
q-q-0;rx(ParameterExpression);;;;;;;;rz(ParameterExpression);;;;;;;;rx(ParameterExpression);;;;;;;;cx();;;;;;;;cx();;;;cx();
q-q-1;;rx(ParameterExpression);;;;;;;;rz(ParameterExpression);;;;;;;;rx(ParameterExpression);;;;;;;cx();;;;measure();;;;;;;;;
q-q-2;;;rx(ParameterExpression);;;;;;;;rz(ParameterExpression);;;;;;;;rx(ParameterExpression);;;;;;;cx();;;;;;;cx();;measure();;;
q-q-3;;;;rx(ParameterExpression);;;;;;;;rz(ParameterExpression);;;;;;;;rx(ParameterExpression);;;;;;cx();;;;measure();;;;;;;;
q-q-4;;;;;rx(ParameterExpression);;;;;;;;rz(ParameterExpression);;;;;;;;rx(ParameterExpression);;;;;;cx();;;;;;;cx();;;cx();measure()
q-q-5;;;;;;rx(ParameterExpression);;;;;;;;rz(ParameterExpression);;;;;;;;rx(ParameterExpression);;;;;cx();;;;measure();;;;;;;
q-q-6;;;;;;;rx(ParameterExpression);;;;;;;;rz(ParameterExpression);;;;;;;;rx(ParameterExpression);;;;;cx();;;;;;cx();;measure();;
q-q-7;;;;;;;;rx(ParameterExpression);;;;;;;;rz(ParameterExpression);;;;;;;;rx(ParameterExpression);;;;cx();;;;measure();;;;;;
c-c-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;;;;;
c-c-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;;;;
c-c-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;
c-c-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;;;
c-c-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;;;;;
c-c-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure();;
c-c-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;measure()
